Stroke#,Radical,Meaning,Reading,Reading-R,Position-J,Position-R,Importance,Origin,Variant-of,Variant-of-Reading
1,⼀,"one, horizontal stroke",いち,ichi,,,,Kangxi,,
1,⼁,vertical stroke,たてぼう,tatebou,,,,Kangxi,,
1,⼂,dot,てん,ten,,,,Kangxi,,
1,⼃,diagonal sweeping stroke,の,no,,,,Kangxi,,
1,,diagonal sweeping stroke,のかんむり,nokanmuri,かんむり,kanmuri,,,⼃,の
1,⼄,the second,おつ,otsu,,,,Kangxi,,
1,⺃,the second,おつ,otsu,,,,,⼄,おつ
1,⼅,vertical stroke with a hook,はねぼう,hanebou,,,,Kangxi,,
2,⼆,two,に,ni,,,,Kangxi,,
2,⼇,"lid, top",なべぶた,nabebuta,かんむり,kanmuri,Important,Kangxi,,
2,⼈,person,ひと,hito,,,,Kangxi,,
2,⺅,person,にんべん,ninben,へん,hen,Important,,⼈,ひと
2,𠆢,person,ひとやね,hitoyane,かんむり,kanmuri,Important,,⼈,ひと
2,⼉,human legs,ひとあし,hitoashi,あし,ashi,Important,Kangxi,,
2,⼊,to enter,いる,iru,,,,Kangxi,,
2,⼋,eight,はち,hachi,,,,Kangxi,,
2,,eight,はちがしら,hachigashira,,,,,⼋,はち
2,⼌,to enclose,けいがまえ,keigamae,"かまえ, けいがまえ","kamae, keigamae",,Kangxi,,
2,⼍,"cover, crown",わかんむり,wakanmuri,かんむり,kanmuri,Important,Kangxi,,
2,⼎,ice,にすい,nisui,へん,hen,,Kangxi,,
2,⼏,table,きにょう,kinyou,つくり,tsukuri,,Kangxi,,
2,⺇,wind,かぜかんむり,kazekanmuri,かんむり,kanmuri,,,⼏,きにょう
2,⼐,"container, open box",かんにょう,kannyou,にょう,nyou,,Kangxi,,
2,⼑,"knife, sword",かたな,katana,,,,Kangxi,,
2,⺉,"knife, sword",りっとう,rittou,つくり,tsukuri,Important,,⼑,かたな
2,⼒,power,ちから,chikara,,,,Kangxi,,
2,⼓,to wrap,つつみがまえ,tsutsumigamae,"かまえ, つつみがまえ","kamae, tsutsumigamae",,Kangxi,,
2,⼔,spoon,さじ,saji,つくり,tsukuri,,Kangxi,,
2,⼕,box,はこがまえ,hakogamae,"かまえ, はこがまえ","kamae, hakogamae",,Kangxi,,
2,⼖,"to conceal, hide",かくしがまえ,kakushigamae,"かまえ, はこがまえ","kamae, hakogamae",,Kangxi,,
2,⼗,ten,じゅう,juu,,,,Kangxi,,
