ka_utf;kname;meaning;kstroke;onyomi_ja;onyomi;kunyomi_ja;kunyomi;grade;examples;dick;dicn;rad_utf;rad_order;rad_name_ja;rad_name;rad_meaning;rad_stroke;rad_position_ja;rad_position
一;1;one;1;イチ;ichi;ひと;hito;1;"[ [ ""一年生（いちねんせい）"", ""first-year student"" ], [ ""一番（いちばん）"", ""number one"" ], [ ""一度（いちど）"", ""once"" ], [ ""一杯（いっぱい）"", ""one cup of, a lot of"" ], [ ""一緒（いっしょ）"", ""together"" ], [ ""一分（いっぷん）"", ""one minute"" ], [ ""一枚（いちまい）"", ""one (flat object) "" ], [ ""一つ（ひとつ）"", ""one (object) "" ], [ ""一人（ひとり）"", ""one person"" ] ]";2105;1;⼀;1;いち;ichi;one, horizontal stroke;1;;
何;nani;what, how many;7;カ;ka;なに、なん;nani, nan;2;"[ [ ""幾何学（きかがく）"", ""geometry"" ], [ ""何（なに）"", ""what"" ], [ ""何色（なにいろ）"", ""what color"" ], [ ""何しろ（なにしろ）"", ""at any rate, anyway"" ], [ ""何か（なにか）"", ""something"" ], [ ""何分（なんぷん）"", ""how many minutes"" ], [ ""何時（なんじ）"", ""what time"" ], [ ""何回（なんかい）"", ""how many times"" ], [ ""何百（なんびゃく）"", ""hundreds"" ], [ ""何度も（なんども）"", ""many times"" ], [ ""何才（なんさい）"", ""how old"" ] ]";45;409;⺅;11;にんべん;ninben;person ;2;へん;hen
七;7;seven;2;シチ;shichi;なな、なの、ななつ;nana, nano, nanatsu;1;"[ [ ""七時（しちじ）"", ""7 o'clock"" ], [ ""十七（じゅうしち/じゅうなな）"", ""17"" ], [ ""七五三（しちごさん）"", ""festival for children aged 7, 5 & 3"" ], [ ""七回（ななかい）"", ""7 times"" ], [ ""七週間（ななしゅうかん）"", ""7 weeks"" ], [ ""七才（ななさい）"", ""7 years old"" ], [ ""七日（なのか）"", ""7 days, 7th of the month"" ], [ ""七つ（ななつ）"", ""7 (objects)"" ] ]";2109;261;⼀;1;いち;ichi;one, horizontal stroke;1;;
飼;shi-ka(u);raise animals;13;シ;shi;か、かう;ka, kau;5;"[ [ ""飼料（しりょう）"", ""fodder, feed"" ], [ ""飼育する（しいくする）"", ""breed, raise, rear"" ], [ ""飼う（かう）"", ""keep as a pet"" ], [ ""飼い犬（かいいぬ）"", ""pet dog"" ], [ ""羊飼い（ひつじかい）"", ""shepherd, shepherdess"" ], [ ""放し飼い（はなしがい）"", ""pasturing, grazing"" ] ]";1128;5163;⻟;221;しょくへん;shokuhen;food, to eat;8;へん;hen
示;ji-shime(su);show;5;シ、ジ;shi, ji;しめ、しめす;shime, shimesu;5;"[ [ ""示唆する（しさする）"", ""suggest, give a hint"" ], [ ""示談（じだん）"", ""settlement out of court"" ], [ ""掲示する（けいじする）"", ""put up a notice"" ], [ ""指示する（しじする）"", ""indicate, instruct, direct"" ], [ ""誇示する（こじする）"", ""emphasize, show off, display"" ], [ ""展示する（てんじする）"", ""exhibit, display [v.t.]"" ], [ ""表示する（ひょうじする）"", ""mark, display [v.t.]"" ], [ ""暗示する（あんじする）"", ""hint, suggest"" ], [ ""訓示する（くんじする）"", ""instruct, give instructions"" ], [ ""啓示する（けいじする）"", ""apocalypse, reveal"" ], [ ""示す（しめす）"", ""point out, indicate"" ] ]";1229;3228;⽰;144;しめす;shimesu;altar, festival, religious service;5;;
述;jutsu-no(beru);state, mention, refer to, explain;8;ジュツ;jutsu;の、のべる;no, noberu;5;"[ [ ""述語（じゅつご）"", ""predicate [n.]"" ], [ ""著述家（ちょじゅつか）"", ""writer"" ], [ ""述懐する（じゅっかいする）"", ""recollect, reminisce"" ], [ ""供述する（きょうじゅつする）"", ""state, declare"" ], [ ""陳述する（ちんじゅつする）"", ""testify, state, depose"" ], [ ""詳述する（しょうじゅつする）"", ""explain in detail"" ], [ ""記述する（きじゅつする）"", ""describe"" ], [ ""口述する（こうじゅつする）"", ""state verbally"" ], [ ""上述する（じょうじゅつする）"", ""state above"" ], [ ""述べる（のべる）"", ""state, express, mention"" ] ]";1954;4675;⻌;72;しんにょう;shinnyou;road, walk, to advance;3;にょう;nyou
序;jo(ban);introductory part, order, preface;7;ジョ;jo;;n/a;5;"[ [ ""序文（じょぶん）"", ""preface, foreword"" ], [ ""序曲（じょきょく）"", ""overture, prelude"" ], [ ""序説（じょせつ）"", ""introduction"" ], [ ""序列（じょれつ）"", ""rank, ranking order"" ], [ ""順序（じゅんじょ）"", ""order, sequence, procedure"" ], [ ""秩序（ちつじょ）"", ""order, regularity, system"" ] ]";1945;1502;⼴;63;まだれ;madare;slanting roof;3;たれ;tare
織;(so)shiki;weave;18;ショク、シキ;shoku, shiki;お、おる、おり;o, oru, ori;5;"[ [ ""染織（せんしょく）"", ""weaving and dyeing"" ], [ ""紡織（ぼうしょく）"", ""spinning and weaving"" ], [ ""織機（しょっき）"", ""loom, weaving machine"" ], [ ""組織（そしき）"", ""organization, structure"" ], [ ""織る（おる）"", ""weave"" ], [ ""織り目（おりめ）"", ""texture"" ], [ ""織物（おりもの）"", ""textile, fabric"" ], [ ""毛織（けおり）"", ""woolen fabric, woolen cloth"" ] ]";958;3613;;158;いとへん;itohen;thread;6;へん;hen
税;zei(kin);tax;12;ゼイ;zei;;n/a;5;"[ [ ""税金（ぜいきん）"", ""tax, duty"" ], [ ""税関（ぜいかん）"", ""customs house"" ], [ ""税理士（ぜいりし）"", ""tax counsellor"" ], [ ""関税（かんぜい）"", ""customs, duty, tariff"" ], [ ""所得税（しょとくぜい）"", ""income tax"" ], [ ""間接税（かんせつぜい）"", ""indirect tax"" ], [ ""納税する（のうぜいする）"", ""pay taxes"" ], [ ""課税する（かぜいする）"", ""tax [v.t.]"" ], [ ""脱税する（だつぜいする）"", ""evade tax"" ], [ ""増税する（ぞうぜいする）"", ""increase tax"" ], [ ""減税する（げんぜいする）"", ""decrease tax"" ], [ ""免税する（めんぜいする）"", ""exempt from taxation [v.t.]"" ] ]";807;3287;⽲;145;のぎへん;nogihen;grain;5;へん;hen
舌;zetsu-shita;tongue;6;ゼツ;zetsu;した;shita;5;"[ [ ""舌癌（ぜつがん）"", ""tongue cancer"" ], [ ""舌戦（ぜっせん）"", ""war of words"" ], [ ""毒舌な（どくぜつな）"", ""verbally abusive, sharp-tongued"" ], [ ""饒舌な（じょうぜつな）"", ""garrulous, talkative"" ], [ ""舌（した）"", ""tongue"" ], [ ""猫舌（ねこじた）"", ""unable to take hot food"" ], [ ""二枚舌（にまいじた）"", ""double-dealing, double-tongued"" ], [ ""舌打ちする（したうちする）"", ""smack one's lips"" ] ]";1384;3855;⾆;169;した;shita;tongue;6;;
